#header line GPU processors,avg,error_bar,run1,run2,run3
1,2.576567483,0.009471565,2.58783036,2.57298486,2.56888723
4,0.64434317,0.0003235,0.64442685,0.64462483,0.64397783
8,0.32439643,0.00277159,0.32211518,0.32765836,0.32341575
12,0.216649723,0.00146936,0.21839998,0.21608793,0.21546126
16,0.16599911,0.00024054,0.16584625,0.16631608,0.165835
20,0.13762665,0.002863715,0.14117025,0.13626688,0.13544282
24,0.11599916,0.001115665,0.11742833,0.115197,0.11537215
28,0.108807583,0.010071045,0.10211884,0.10208091,0.122223
32,0.09724991,0.00349697,0.0999052,0.09291126,0.09893327
36,0.119978263,0.035467655,0.08399226,0.15492757,0.12101496
40,0.109511873,0.00195929,0.11057728,0.10701988,0.11093846
44,0.113051907,0.01761556,0.09973385,0.13496497,0.1044569
48,0.132200647,0.038407435,0.17576694,0.12188293,0.09895207