threads,time_11,time_31,scalability_11,scalability_33
1,72.3797,590.147,1,1
2,37.8928,295.295,1.910117489,1.998499805
3,24.2799,197.186,2.981054288,2.99284432
4,18.2909,147.971,3.957142623,3.988261213
5,16.6832,120.635,4.33847823,4.892004808
6,12.2529,98.7612,5.907148512,5.975494425
7,10.5507,84.8609,6.860179893,6.954286367
8,10.9734,74.1081,6.595922868,7.963326546
9,8.2378,66.0398,8.786290029,8.936232393
10,7.44766,59.3343,9.718448479,9.946135709
11,7.02417,53.9352,10.3043776,10.94177828
12,6.23683,49.5446,11.60520649,11.9114293
13,6.56306,45.7498,11.02834653,12.89944437
14,6.87201,43.3318,10.53253706,13.61925884
15,6.6293,41.4721,10.91815124,14.2299763
16,6.46667,37.1579,11.19273134,15.88214081
17,6.13746,35.0341,11.79310334,16.84493108
18,6.38096,33.083,11.34307377,17.83837621
19,6.6464,31.3638,10.89006078,18.81618299
20,5.29168,29.7867,13.67801908,19.81243307
21,5.15928,28.398,14.02903118,20.78128741
22,6.14027,28.9447,11.7877064,20.38877584
23,6.57965,25.9417,11.00053954,22.74897173
24,6.76018,25.3006,10.70677112,23.32541521