procs,time_11,time_31,scalability_11,scalabikity_31
1,30.5783,249.544,1,1
2,30.6743,249.721,0.996870344,0.999291209
3,30.8195,250.195,0.992173786,0.99739803
4,30.9292,250.226,0.988654734,0.997274464
5,31.0379,250.259,0.985192297,0.99714296
6,31.4408,250.368,0.972567492,0.996708845
7,31.466,250.78,0.971788597,0.995071377
8,31.5679,250.635,0.9686517,0.995647056
9,31.7904,251.061,0.961872138,0.993957644
10,31.8561,251.055,0.959888373,0.993981398
11,32.0294,251.237,0.954694749,0.993261343
12,32.1202,251.464,0.95199594,0.992364712
13,32.3493,251.318,0.945253839,0.992941214
14,32.3729,251.686,0.944564744,0.991489396
15,32.6592,251.624,0.936284416,0.991733698
16,32.8087,251.754,0.932018032,0.991221589
17,32.8214,251.738,0.931657394,0.99128459
18,32.7031,251.693,0.935027566,0.991461821
19,32.8939,252.028,0.929603969,0.990143952
20,32.9319,252.107,0.928531302,0.989833682
21,33.0686,252.374,0.924692911,0.988786484
22,33.229,252.383,0.920229318,0.988751223
23,33.5052,252.96,0.912643411,0.986495889
24,33.5959,253.882,0.910179516,0.982913322